transaction_id,date,hour,customer_id,product_id,store_id,employee_id,quantity,discount_pct,payment_method,is_returned
TXN000001,2024-12-16,10,CUST0114,PRD0066,ST009,EMP006,5,0,Cash,False
TXN000002,2023-04-29,16,CUST0387,PRD0061,ST009,EMP006,1,5,Digital Wallet,False
TXN000003,2024-01-20,9,CUST0258,PRD0077,ST003,EMP011,4,20,Digital Wallet,False
TXN000004,2024-06-22,8,CUST0109,PRD0006,ST010,EMP031,1,20,Digital Wallet,False
TXN000005,2023-12-03,11,CUST0038,PRD0076,ST008,EMP035,3,0,Credit Card,False
TXN000006,2023-03-14,18,CUST0465,PRD0086,ST007,EMP045,3,0,Debit Card,False
TXN000007,2023-01-18,18,CUST0080,PRD0039,ST009,EMP023,3,15,Debit Card,False
TXN000008,2024-11-18,8,CUST0029,PRD0090,ST002,EMP003,4,25,Digital Wallet,False
TXN000009,2023-05-15,20,CUST0096,PRD0023,ST005,EMP026,4,0,Debit Card,False
TXN000010,2024-09-20,13,CUST0466,PRD0043,ST006,EMP021,2,0,Cash,False
TXN000011,2023-01-06,19,CUST0025,PRD0091,ST003,EMP001,1,0,Cash,False
TXN000012,2024-06-05,15,CUST0381,PRD0091,ST006,EMP028,3,20,Digital Wallet,True
TXN000013,2024-05-23,20,CUST0347,PRD0084,ST008,EMP017,1,0,Credit Card,False
TXN000014,2023-11-21,15,CUST0171,PRD0098,ST008,EMP008,2,25,Cash,False
TXN000015,2023-06-22,12,CUST0435,PRD0070,ST009,EMP006,2,0,Digital Wallet,False
TXN000016,2023-07-19,14,CUST0158,PRD0040,ST009,EMP019,3,0,Credit Card,False
TXN000017,2024-11-17,20,CUST0273,PRD0100,ST001,EMP050,5,0,Credit Card,False
TXN000018,2023-03-09,12,CUST0428,PRD0059,ST005,EMP044,3,0,Credit Card,False
TXN000019,2023-06-29,18,CUST0378,PRD0011,ST002,EMP003,2,10,Debit Card,False
TXN000020,2023-02-11,16,CUST0226,PRD0061,ST003,EMP011,4,15,Debit Card,False
TXN000021,2023-03-06,16,CUST0331,PRD0056,ST002,EMP039,5,10,Debit Card,False
TXN000022,2024-06-05,8,CUST0174,PRD0079,ST009,EMP029,4,0,Debit Card,False
TXN000023,2023-03-02,17,CUST0499,PRD0088,ST005,EMP026,2,0,Debit Card,False
TXN000024,2023-04-29,13,CUST0401,PRD0094,ST010,EMP022,2,20,Cash,False
TXN000025,2024-04-24,15,CUST0097,PRD0022,ST006,EMP036,1,0,Credit Card,False
TXN000026,2023-02-07,12,CUST0306,PRD0005,ST007,EMP045,5,0,Cash,False
TXN000027,2023-06-05,18,CUST0354,PRD0036,ST008,EMP010,5,15,Cash,False
TXN000028,2024-06-04,11,CUST0132,PRD0071,ST004,EMP027,3,0,Cash,False
TXN000029,2023-06-24,19,CUST0096,PRD0018,ST002,EMP039,2,0,Cash,False
TXN000030,2024-04-18,12,CUST0387,PRD0041,ST003,EMP001,3,0,Debit Card,False
TXN000031,2024-12-09,18,CUST0423,PRD0065,ST005,EMP020,3,0,Cash,False
TXN000032,2023-12-07,13,CUST0479,PRD0083,ST001,EMP050,3,0,Credit Card,False
TXN000033,2023-12-15,8,CUST0489,PRD0043,ST009,EMP023,3,0,Digital Wallet,False
TXN000034,2023-01-19,18,CUST0190,PRD0059,ST004,EMP027,5,0,Debit Card,False
TXN000035,2024-06-19,17,CUST0189,PRD0088,ST007,EMP041,5,15,Debit Card,False
TXN000036,2023-03-31,8,CUST0165,PRD0064,ST010,EMP022,2,0,Credit Card,False
TXN000037,2024-02-04,11,CUST0097,PRD0035,ST008,EMP017,5,10,Cash,False
TXN000038,2024-11-18,18,CUST0006,PRD0043,ST004,EMP027,1,15,Debit Card,False
TXN000039,2024-10-03,15,CUST0249,PRD0042,ST005,EMP018,3,0,Credit Card,True
TXN000040,2023-10-11,17,CUST0235,PRD0056,ST003,EMP049,4,0,Debit Card,False
TXN000041,2023-04-29,10,CUST0356,PRD0062,ST008,EMP008,5,10,Digital Wallet,False
TXN000042,2023-04-18,8,CUST0220,PRD0099,ST001,EMP013,2,0,Credit Card,False
TXN000043,2024-08-14,18,CUST0253,PRD0084,ST005,EMP026,2,0,Debit Card,False
TXN000044,2023-01-04,8,CUST0097,PRD0017,ST008,EMP008,1,0,Cash,False
TXN000045,2024-03-24,21,CUST0266,PRD0087,ST002,EMP012,1,0,Cash,False
TXN000046,2024-11-27,17,CUST0266,PRD0051,ST010,EMP022,3,0,Digital Wallet,False
TXN000047,2024-05-17,10,CUST0320,PRD0048,ST007,EMP045,4,0,Cash,False
TXN000048,2023-12-09,9,CUST0373,PRD0033,ST004,EMP043,5,0,Debit Card,False
TXN000049,2024-05-17,17,CUST0227,PRD0043,ST010,EMP031,4,0,Credit Card,False
TXN000050,2024-02-29,10,CUST0053,PRD0079,ST004,EMP043,3,10,Debit Card,False
TXN000051,2023-04-03,16,CUST0154,PRD0061,ST005,EMP044,1,0,Digital Wallet,False
TXN000052,2024-06-27,11,CUST0400,PRD0019,ST001,EMP025,1,0,Cash,False
TXN000053,2024-11-30,20,CUST0157,PRD0068,ST010,EMP022,4,0,Credit Card,False
TXN000054,2023-07-02,13,CUST0360,PRD0084,ST007,EMP045,4,0,Cash,False
TXN000055,2023-10-22,16,CUST0349,PRD0069,ST004,EMP043,1,0,Credit Card,False
TXN000056,2024-09-01,19,CUST0388,PRD0077,ST008,EMP037,4,0,Credit Card,False
TXN000057,2023-03-05,20,CUST0182,PRD0045,ST006,EMP028,5,5,Debit Card,False
TXN000058,2023-08-03,10,CUST0295,PRD0017,ST006,EMP047,1,0,Cash,False
TXN000059,2023-10-03,21,CUST0395,PRD0095,ST006,EMP036,4,0,Debit Card,False
TXN000060,2023-05-13,9,CUST0189,PRD0017,ST010,EMP034,2,0,Debit Card,False
TXN000061,2024-07-31,15,CUST0261,PRD0049,ST003,EMP011,1,5,Credit Card,False
TXN000062,2024-09-22,21,CUST0129,PRD0080,ST008,EMP033,3,0,Debit Card,False
TXN000063,2024-11-29,17,CUST0479,PRD0016,ST005,EMP020,3,0,Debit Card,False
TXN000064,2024-11-30,21,CUST0064,PRD0009,ST009,EMP023,3,0,Credit Card,False
TXN000065,2024-10-08,15,CUST0011,PRD0075,ST003,EMP011,4,0,Digital Wallet,False
TXN000066,2024-06-18,13,CUST0111,PRD0038,ST006,EMP047,5,5,Debit Card,False
TXN000067,2023-03-25,12,CUST0191,PRD0053,ST001,EMP002,2,0,Digital Wallet,False
TXN000068,2024-12-01,18,CUST0022,PRD0024,ST002,EMP039,2,0,Digital Wallet,False
TXN000069,2023-09-22,8,CUST0150,PRD0012,ST005,EMP020,2,0,Debit Card,False
TXN000070,2023-03-27,13,CUST0037,PRD0089,ST008,EMP017,1,0,Cash,False
TXN000071,2023-10-31,17,CUST0166,PRD0062,ST009,EMP029,4,0,Digital Wallet,False
TXN000072,2024-06-20,12,CUST0043,PRD0027,ST001,EMP032,4,0,Debit Card,False
TXN000073,2024-07-05,20,CUST0007,PRD0078,ST002,EMP042,3,0,Cash,False
TXN000074,2024-08-11,16,CUST0363,PRD0030,ST006,EMP047,4,0,Debit Card,True
TXN000075,2024-11-04,9,CUST0159,PRD0056,ST006,EMP047,1,0,Debit Card,False
TXN000076,2023-03-31,11,CUST0480,PRD0056,ST010,EMP016,1,0,Debit Card,False
TXN000077,2024-01-30,19,CUST0320,PRD0054,ST001,EMP024,2,0,Credit Card,False
TXN000078,2024-08-13,16,CUST0250,PRD0022,ST009,EMP006,2,0,Credit Card,False
TXN000079,2024-02-03,9,CUST0365,PRD0001,ST003,EMP011,1,0,Credit Card,False
TXN000080,2023-11-22,20,CUST0254,PRD0073,ST010,EMP022,1,0,Cash,True
TXN000081,2023-07-22,18,CUST0477,PRD0037,ST006,EMP028,3,5,Credit Card,False
TXN000082,2023-09-25,15,CUST0350,PRD0003,ST003,EMP001,3,0,Cash,False
TXN000083,2023-02-12,8,CUST0136,PRD0004,ST008,EMP017,3,0,Digital Wallet,False
TXN000084,2024-07-20,14,CUST0342,PRD0100,ST006,EMP021,1,0,Cash,True
TXN000085,2023-10-30,14,CUST0316,PRD0022,ST010,EMP004,4,0,Digital Wallet,False
TXN000086,2023-07-24,20,CUST0384,PRD0069,ST006,EMP036,2,0,Cash,False
TXN000087,2023-09-21,11,CUST0449,PRD0034,ST006,EMP028,5,5,Debit Card,True
TXN000088,2024-05-12,9,CUST0356,PRD0075,ST010,EMP007,5,0,Cash,False
TXN000089,2023-07-18,18,CUST0449,PRD0096,ST003,EMP049,5,0,Cash,False
TXN000090,2023-09-01,17,CUST0196,PRD0006,ST002,EMP003,4,0,Cash,False
TXN000091,2023-01-13,21,CUST0130,PRD0016,ST008,EMP033,1,0,Debit Card,True
TXN000092,2023-07-29,21,CUST0493,PRD0002,ST004,EMP043,4,0,Debit Card,False
TXN000093,2023-08-17,11,CUST0037,PRD0097,ST006,EMP047,2,0,Cash,False
TXN000094,2023-10-11,20,CUST0328,PRD0002,ST008,EMP037,5,0,Debit Card,False
TXN000095,2023-09-08,14,CUST0220,PRD0044,ST002,EMP039,4,0,Debit Card,False
TXN000096,2024-01-24,11,CUST0461,PRD0033,ST008,EMP035,2,0,Cash,False
TXN000097,2023-02-01,17,CUST0032,PRD0039,ST001,EMP002,2,0,Digital Wallet,False
TXN000098,2024-05-30,12,CUST0167,PRD0045,ST008,EMP048,2,0,Cash,False
TXN000099,2023-02-12,15,CUST0029,PRD0044,ST006,EMP047,4,20,Cash,True
TXN000100,2024-09-18,20,CUST0446,PRD0086,ST003,EMP049,4,0,Cash,False
TXN000101,2023-03-18,8,CUST0208,PRD0049,ST002,EMP039,1,0,Credit Card,False
TXN000102,2023-07-25,14,CUST0006,PRD0019,ST004,EMP027,1,5,Cash,False
TXN000103,2024-10-05,8,CUST0490,PRD0092,ST004,EMP043,3,5,Cash,False
TXN000104,2023-10-08,8,CUST0095,PRD0059,ST006,EMP028,5,0,Digital Wallet,False
TXN000105,2023-11-06,19,CUST0048,PRD0042,ST006,EMP047,5,0,Credit Card,True
TXN000106,2024-01-23,18,CUST0164,PRD0056,ST003,EMP049,2,0,Cash,False
TXN000107,2024-03-19,17,CUST0281,PRD0059,ST005,EMP018,1,0,Credit Card,False
TXN000108,2024-02-21,19,CUST0234,PRD0023,ST005,EMP018,5,0,Digital Wallet,False
TXN000109,2024-02-27,15,CUST0291,PRD0079,ST004,EMP027,5,0,Cash,False
TXN000110,2024-01-19,19,CUST0249,PRD0087,ST007,EMP045,3,0,Digital Wallet,False
TXN000111,2023-05-05,17,CUST0310,PRD0050,ST007,EMP014,5,0,Credit Card,False
TXN000112,2024-01-30,15,CUST0086,PRD0080,ST010,EMP034,4,15,Credit Card,False
TXN000113,2023-08-16,13,CUST0350,PRD0049,ST007,EMP045,1,0,Debit Card,False
TXN000114,2024-06-11,13,CUST0472,PRD0088,ST001,EMP030,5,20,Credit Card,False
TXN000115,2024-11-26,16,CUST0145,PRD0011,ST008,EMP033,2,0,Cash,False
TXN000116,2023-05-14,17,CUST0115,PRD0079,ST007,EMP014,5,15,Digital Wallet,False
TXN000117,2024-06-29,12,CUST0282,PRD0050,ST002,EMP003,4,0,Debit Card,False
TXN000118,2024-04-09,21,CUST0076,PRD0079,ST001,EMP050,3,0,Debit Card,False
TXN000119,2023-06-13,13,CUST0082,PRD0073,ST002,EMP012,5,0,Debit Card,False
TXN000120,2023-08-15,13,CUST0344,PRD0073,ST006,EMP047,3,0,Digital Wallet,False
TXN000121,2024-11-13,14,CUST0051,PRD0075,ST007,EMP014,4,10,Digital Wallet,True
TXN000122,2023-06-01,12,CUST0128,PRD0029,ST009,EMP005,5,0,Credit Card,False
TXN000123,2023-01-03,14,CUST0249,PRD0019,ST008,EMP035,5,15,Digital Wallet,False
TXN000124,2023-06-12,19,CUST0170,PRD0016,ST010,EMP038,3,15,Credit Card,False
TXN000125,2023-10-14,20,CUST0156,PRD0047,ST004,EMP043,5,15,Debit Card,False
TXN000126,2024-12-17,12,CUST0471,PRD0081,ST001,EMP032,4,0,Credit Card,False
TXN000127,2024-06-18,12,CUST0423,PRD0062,ST007,EMP014,1,0,Digital Wallet,False
TXN000128,2024-07-30,15,CUST0013,PRD0022,ST001,EMP009,4,0,Debit Card,False
TXN000129,2023-01-03,18,CUST0044,PRD0080,ST007,EMP045,5,0,Debit Card,False
TXN000130,2024-04-08,8,CUST0092,PRD0020,ST005,EMP044,5,5,Debit Card,False
TXN000131,2024-11-15,17,CUST0370,PRD0012,ST007,EMP045,4,0,Credit Card,False
TXN000132,2024-09-04,12,CUST0206,PRD0012,ST006,EMP028,2,20,Credit Card,False
TXN000133,2024-12-24,17,CUST0412,PRD0002,ST007,EMP014,2,0,Credit Card,False
TXN000134,2023-01-06,17,CUST0395,PRD0074,ST001,EMP030,2,25,Cash,False
TXN000135,2023-09-27,10,CUST0027,PRD0086,ST006,EMP036,4,5,Debit Card,False
TXN000136,2024-09-29,9,CUST0334,PRD0069,ST003,EMP049,3,0,Digital Wallet,False
TXN000137,2024-05-30,11,CUST0292,PRD0080,ST006,EMP028,5,0,Cash,False
TXN000138,2023-01-15,13,CUST0222,PRD0097,ST007,EMP041,3,20,Cash,False
TXN000139,2023-02-11,16,CUST0031,PRD0033,ST001,EMP050,1,10,Credit Card,False
TXN000140,2024-05-20,11,CUST0467,PRD0031,ST005,EMP044,3,0,Credit Card,False
TXN000141,2024-01-07,13,CUST0010,PRD0030,ST007,EMP045,1,0,Debit Card,False
TXN000142,2024-10-02,8,CUST0471,PRD0020,ST002,EMP012,2,0,Digital Wallet,False
TXN000143,2023-12-12,12,CUST0323,PRD0043,ST005,EMP044,1,0,Debit Card,False
TXN000144,2023-12-10,10,CUST0456,PRD0056,ST001,EMP002,5,0,Cash,False
TXN000145,2024-07-27,11,CUST0366,PRD0095,ST001,EMP024,2,0,Credit Card,False
TXN000146,2023-11-21,15,CUST0070,PRD0093,ST001,EMP013,4,0,Credit Card,False
TXN000147,2023-08-23,15,CUST0383,PRD0041,ST003,EMP011,2,0,Cash,False
TXN000148,2024-08-19,8,CUST0172,PRD0005,ST010,EMP022,1,0,Cash,False
TXN000149,2024-04-02,13,CUST0406,PRD0081,ST002,EMP042,1,0,Digital Wallet,False
TXN000150,2023-05-11,17,CUST0346,PRD0052,ST008,EMP048,2,0,Credit Card,False
TXN000151,2024-07-16,8,CUST0418,PRD0042,ST007,EMP014,1,0,Credit Card,False
TXN000152,2023-03-30,20,CUST0098,PRD0046,ST009,EMP023,1,0,Debit Card,False
